L,Mring,Nring,Mlin,Nlin,md_t,md_t_std,sim_mean,sim_std,n_trials
80,27,1024,1,160,18.666666666666668,11.590225767142472,18.07,7.122768691585726,1000
80,27,1024,2,128,11.333333333333334,2.0816659994661326,11.623,4.51566852882962,1000
80,27,1024,3,96,11.0,2.6457513110645907,12.672,4.907392229942345,1000
80,27,1024,6,64,16.666666666666668,10.016652800877813,13.963,5.5154375212716396,1000
80,42,768,1,160,20.33333333333333,7.234178138070235,21.133,6.526553984064401,1000
80,42,768,2,128,17.333333333333332,3.214550253664319,13.34,3.966627551728815,1000
80,42,768,3,96,19.33333333333333,5.131601439446884,14.579,4.620509507414535,1000
80,42,768,6,64,18.666666666666668,3.511884584284246,14.821,4.5384531017249214,1000
80,78,512,1,160,28.0,5.196152422706632,26.427,5.590162870697143,1000
80,78,512,2,128,22.666666666666668,3.5118845842842465,17.075,3.7493242634416712,1000
80,78,512,3,96,24.666666666666668,5.033222956847166,17.636,4.019908414835301,1000
80,78,512,6,64,19.0,3.0,17.299,4.194901214116514,1000
80,222,256,1,160,43.333333333333336,10.692676621563628,43.291,5.04140206041283,1000
80,222,256,2,128,26.33333333333333,4.932882862316247,28.038,3.4325410905535185,1000
80,222,256,3,96,29.0,9.643650760992957,27.535,3.498716338318386,1000
80,222,256,6,64,32.666666666666664,2.5166114784235822,24.717,3.3743587979492187,1000
